date,amount_in_mils
2000-01,194202
2000-04,204293
2000-07,204339
2000-10,211682
2001-01,204760
2001-04,214318
2001-07,212260
2001-10,222525
2002-01,215255
2002-04,226285
2002-07,226343
2002-10,236816
2003-01,228722
2003-04,237408
2003-07,237520
2003-10,244581
2004-01,237814
2004-04,248121
2004-07,247446
2004-10,256869
2005-01,248075
2005-04,262785
2005-07,261427
2005-10,270891
2006-01,261147
2006-04,278350
2006-07,277636
2006-10,285360
2007-01,276083
2007-04,294563
2007-07,292793
2007-10,303693
2008-01,293852
2008-04,311766
2008-07,309577
2008-10,314010
2009-01,297387
2009-04,314113
2009-07,313772
2009-10,324528
2010-01,311847
2010-04,327995
2010-07,327876
2010-10,339692
2011-01,326695
2011-04,343228
2011-07,343215
2011-10,353753
2012-01,339389
2012-04,353910
2012-07,353014
2012-10,362063
2013-01,349325
2013-04,365617
2013-07,367300
2013-10,376121
2014-01,362245
2014-04,381079
2014-07,383130
2014-10,390922
2015-01,374383
2015-04,392389
2015-07,396007
2015-10,403436
2016-01,385652
2016-04,404889
2016-07,405239
2016-10,415174
2017-01,400514
2017-04,423345
2017-07,424313
2017-10,436075
2018-01,419373
2018-04,441966
2018-07,443155
2018-10,452037
2019-01,433693
2019-04,455989
2019-07,456243
2019-10,468326
2020-01,440391
2020-04,409701
2020-07,452918
2020-10,462861
2021-01,444288
2021-04,467951
2021-07,488973
2021-10,503247
2022-01,492597
2022-04,527112
2022-07,532519
2022-10,543138
2023-01,524895
2023-04,553548
2023-07,559028
2023-10,571273
