date,amount_in_mils
2008-01,1637296
2008-04,1677448
2008-07,1694512
2008-10,1618908
2009-01,1557232
2009-04,1548488
2009-07,1567924
2009-10,1611692
2010-01,1644032
2010-04,1653240
2010-07,1665372
2010-10,1701548
2011-01,1737952
2011-04,1759852
2011-07,1785748
2011-10,1812700
2012-01,1815120
2012-04,1818984
2012-07,1830636
2012-10,1844064
2013-01,1876844
2013-04,1886592
2013-07,1912428
2013-10,1933124
2014-01,1963452
2014-04,1988404
2014-07,2013792
2014-10,2013944
2015-01,1984300
2015-04,1984920
2015-07,2000864
2015-10,1991680
2016-01,1998420
2016-04,2002152
2016-07,2035420
2016-10,2066148
2017-01,2107948
2017-04,2130020
2017-07,2141752
2017-10,2182844
2018-01,2207068
2018-04,2240068
2018-07,2258952
2018-10,2236612
2019-01,2268912
2019-04,2312680
2019-07,2322476
2019-10,2350184
2020-01,2288016
2020-04,2015932
2020-07,2246484
2020-10,2331676
2021-01,2420504
2021-04,2466852
2021-07,2541804
2021-10,2639332
2022-01,2726584
2022-04,2842144
2022-07,2844872
2022-10,2839556
2023-01,2837328
2023-04,2860424
2023-07,2905548
2023-10,2952380
