"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","194202","","","","0"
"2000-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","204293","","","","0"
"2000-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","204339","","","","0"
"2000-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","211682","","","","0"
"2001-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","204760","","","","0"
"2001-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","214318","","","","0"
"2001-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","212260","","","","0"
"2001-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","222525","","","","0"
"2002-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","215255","","","","0"
"2002-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","226285","","","","0"
"2002-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","226343","","","","0"
"2002-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","236816","","","","0"
"2003-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","228722","","","","0"
"2003-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","237408","","","","0"
"2003-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","237520","","","","0"
"2003-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","244581","","","","0"
"2004-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","237814","","","","0"
"2004-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","248121","","","","0"
"2004-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","247446","","","","0"
"2004-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","256869","","","","0"
"2005-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","248075","","","","0"
"2005-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","262785","","","","0"
"2005-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","261427","","","","0"
"2005-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","270891","","","","0"
"2006-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","261147","","","","0"
"2006-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","278350","","","","0"
"2006-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","277636","","","","0"
"2006-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","285360","","","","0"
"2007-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","276083","","","","0"
"2007-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","294563","","","","0"
"2007-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","292793","","","","0"
"2007-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","303693","","","","0"
"2008-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","293852","","","","0"
"2008-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","311766","","","","0"
"2008-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","309577","","","","0"
"2008-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","314010","","","","0"
"2009-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","297387","","","","0"
"2009-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","314113","","","","0"
"2009-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","313772","","","","0"
"2009-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","324528","","","","0"
"2010-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","311847","","","","0"
"2010-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","327995","","","","0"
"2010-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","327876","","","","0"
"2010-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","339692","","","","0"
"2011-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","326695","","","","0"
"2011-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","343228","","","","0"
"2011-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","343215","","","","0"
"2011-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","353753","","","","0"
"2012-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","339389","","","","0"
"2012-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","353910","","","","0"
"2012-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","353014","","","","0"
"2012-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","362063","","","","0"
"2013-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","349325","","","","0"
"2013-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","365617","","","","0"
"2013-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","367300","","","","0"
"2013-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","376121","","","","0"
"2014-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","362245","","","","0"
"2014-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","381079","","","","0"
"2014-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","383130","","","","0"
"2014-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","390922","","","","0"
"2015-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","374383","","","","0"
"2015-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","392389","","","","0"
"2015-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","396007","","","","0"
"2015-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","403436","","","","0"
"2016-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","385652","","","","0"
"2016-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","404889","","","","0"
"2016-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","405239","","","","0"
"2016-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","415174","","","","0"
"2017-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","400514","","","","0"
"2017-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","423345","","","","0"
"2017-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","424313","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","436075","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","419373","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","441966","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","443155","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","452037","","","","0"
"2019-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","433693","","","","0"
"2019-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","455989","","","","0"
"2019-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","456243","","","","0"
"2019-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","468326","","","","0"
"2020-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","440391","","","","0"
"2020-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","409701","","","","0"
"2020-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","452918","","","","0"
"2020-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","462861","","","","0"
"2021-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","444288","","","","0"
"2021-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","467951","","","","0"
"2021-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","488973","","","","0"
"2021-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","503247","","","","0"
"2022-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","492597","","","","0"
"2022-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","527112","","","","0"
"2022-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","532519","","","","0"
"2022-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","543138","","","","0"
"2023-01","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","524895","","","","0"
"2023-04","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","553548","","","","0"
"2023-07","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","559028","","","","0"
"2023-10","Canada","2016A000011124","Current prices","Unadjusted","Final consumption expenditure","Dollars","81","millions","6","v62305785","1.2.2.1","571273","","","","0"
"2000-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","137256","","","","0"
"2000-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","148241","","","","0"
"2000-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","148637","","","","0"
"2000-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","154894","","","","0"
"2001-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","143821","","","","0"
"2001-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","156057","","","","0"
"2001-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","154148","","","","0"
"2001-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","161153","","","","0"
"2002-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","150021","","","","0"
"2002-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","165002","","","","0"
"2002-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","164385","","","","0"
"2002-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","172197","","","","0"
"2003-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","159462","","","","0"
"2003-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","172330","","","","0"
"2003-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","172319","","","","0"
"2003-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","177096","","","","0"
"2004-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","166111","","","","0"
"2004-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","180358","","","","0"
"2004-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","179983","","","","0"
"2004-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","186488","","","","0"
"2005-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","174208","","","","0"
"2005-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","190496","","","","0"
"2005-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","191150","","","","0"
"2005-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","196559","","","","0"
"2006-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","184019","","","","0"
"2006-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","200915","","","","0"
"2006-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","202316","","","","0"
"2006-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","206392","","","","0"
"2007-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","194441","","","","0"
"2007-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","213539","","","","0"
"2007-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","213500","","","","0"
"2007-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","220549","","","","0"
"2008-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","206940","","","","0"
"2008-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","224509","","","","0"
"2008-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","223636","","","","0"
"2008-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","223424","","","","0"
"2009-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","204871","","","","0"
"2009-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","222772","","","","0"
"2009-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","223926","","","","0"
"2009-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","230126","","","","0"
"2010-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","215411","","","","0"
"2010-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","234494","","","","0"
"2010-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","234959","","","","0"
"2010-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","241856","","","","0"
"2011-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","225899","","","","0"
"2011-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","245096","","","","0"
"2011-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","244664","","","","0"
"2011-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","251425","","","","0"
"2012-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","235285","","","","0"
"2012-04","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","253132","","","","0"
"2012-07","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","252417","","","","0"
"2012-10","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","257219","","","","0"
"2013-01","Canada","2016A000011124","Current prices","Unadjusted","Household final consumption expenditure","Dollars","81","millions","6","v62305786","1.2.2.2","242136","","","","0"
