"REF_DATE","GEO","DGUID","Funder","Performer","Science type","Prices","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","20555","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","23132","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","23534","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","24693","","","","0"
"2004","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","26680","","","","0"
"2005","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","28022","","","","0"
"2006","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","29079","","","","0"
"2007","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","30038","","","","0"
"2008","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","30751","","","","0"
"2009","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","30129","","","","0"
"2010","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","30407","","","","0"
"2011","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","31706","","","","0"
"2012","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","32395","","","","0"
"2013","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","32457","","","","0"
"2014","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","34210","","","","0"
"2015","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","33710","","","","0"
"2016","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","35023","","","","0"
"2017","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","36113","","","","0"
"2018","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","38838","","","","0"
"2019","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","40620","","","","0"
"2020","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","42948","","","","0"
"2021","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","46927","","","","0"
"2022","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","48154","","","","0"
"2023","Canada","2016A000011124","Funder: total, all sectors","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682131","1.1.1.2.1","49148","","","","0"
"2000","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2080","","","","0"
"2001","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2103","","","","0"
"2002","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2190","","","","0"
"2003","Canada","2016A000011124","Funder: total, all sectors","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v617480","1.1.2.2.1","2083","","","","0"
